gene_name	enst_id	refseq_id
5S_rRNA	ENST00000516580	
7SK	ENST00000418942	
A1BG	ENST00000263100	NM_130786.3
A1CF	ENST00000373995	NM_138933.2
A2M	ENST00000318602	NM_000014.4
A2ML1	ENST00000299698	NM_144670.4,NM_001282424.1
A2MP1	ENST00000543404	
A3GALT2	ENST00000442999	NM_001080438.1
A4GALT	ENST00000401850	
A4GNT	ENST00000236709	NM_016161.2
AAAS	ENST00000209873	NM_015665.5
AACS	ENST00000316519	NM_023928.3
AACSP1	ENST00000503486	
AADAC	ENST00000232892	NM_001086.2
AADACL2	ENST00000356517	NM_207365.3
AADACL3	ENST00000359318	NM_001103170.1
AADACL4	ENST00000376221	NM_001013630.1
AADAT	ENST00000337664	NM_016228.3
AAED1	ENST00000375234	NM_153698.1
AAGAB	ENST00000261880	NM_024666.4,NM_001271886.1
AAK1	ENST00000409085	NM_014911.3
AAMDC	ENST00000526415	
AAMP	ENST00000248450	
AANAT	ENST00000250615	NM_001166579.1
AAR2	ENST00000373932	NM_015511.4
AARD	ENST00000378279	NM_001025357.2
AARS2	ENST00000244571	NM_020745.3
AARSD1	ENST00000427569	NM_001261434.1
AARS	ENST00000261772	NM_001605.2
AASDH	ENST00000205214	NM_181806.2
AASDHPPT	ENST00000278618	NM_015423.2
AASS	ENST00000393376	
AATF	ENST00000225402	NM_012138.3
AATK-AS1	ENST00000414089	
AATK	ENST00000326724	NM_001080395.2
AB015752.3	ENST00000521975	
AB019441.29	ENST00000392301	
ABAT	ENST00000396600	NM_000663.4
ABC12-47043100G14.2	ENST00000526803	
ABC7-42389800N19.1	ENST00000400706	
ABCA10	ENST00000269081	NM_080282.3
ABCA12	ENST00000272895	NM_173076.2
ABCA13	ENST00000435803	NM_152701.3
ABCA17P	ENST00000469908	
ABCA1	ENST00000374736	NM_005502.3
ABCA2	ENST00000341511	NM_212533.2,NM_001606.4
ABCA3	ENST00000301732	NM_001089.2
ABCA4	ENST00000370225	NM_000350.2
ABCA5	ENST00000392676	
ABCA6	ENST00000284425	NM_080284.2
ABCA7	ENST00000263094	NM_019112.3
ABCA8	ENST00000269080	NM_007168.2
ABCA9	ENST00000340001	NM_080283.3
ABCB10	ENST00000344517	NM_012089.2
ABCB11	ENST00000263817	NM_003742.2
ABCB1	ENST00000265724	NM_000927.4
ABCB4	ENST00000265723	NM_000443.3,NM_018849.2
ABCB5	ENST00000404938	NM_001163941.1
ABCB6	ENST00000265316	NM_005689.2
ABCB7	ENST00000253577	NM_001271696.1,NM_004299.4
ABCB8	ENST00000358849	NM_007188.3
ABCB9	ENST00000542678	
ABCC10	ENST00000372530	NM_001198934.1
ABCC11	ENST00000394747	NM_033151.3
ABCC12	ENST00000311303	NM_033226.2
ABCC13	ENST00000482980	
ABCC1	ENST00000399410	NM_004996.3
ABCC2	ENST00000370449	NM_000392.3
ABCC3	ENST00000285238	NM_003786.3
ABCC4	ENST00000376887	NM_005845.3
ABCC5	ENST00000334444	NM_005688.2
ABCC6	ENST00000205557	NM_001171.5
ABCC6P1	ENST00000546162	
ABCC6P2	ENST00000542005	
ABCC8	ENST00000389817	
ABCC9	ENST00000261200	NM_020297.2
ABCD1	ENST00000218104	NM_000033.3
ABCD1P5	ENST00000445663	
ABCD2	ENST00000308666	NM_005164.3
ABCD3	ENST00000370214	NM_002858.3
ABCD4	ENST00000356924	NM_005050.3
ABCE1	ENST00000296577	NM_002940.2,NM_001040876.1
ABCF1	ENST00000326195	NM_001025091.1
ABCF2	ENST00000222388	NM_005692.4
ABCF3	ENST00000429586	NM_018358.2
ABCG1	ENST00000361802	NM_004915.3
ABCG1	ENST00000398457	NM_207628.1,NM_207627.1
ABCG2	ENST00000237612	NM_004827.2
ABCG2	ENST00000515655	NM_001257386.1
ABCG4	ENST00000307417	NM_022169.4
ABCG5	ENST00000260645	NM_022436.2
ABCG8	ENST00000272286	NM_022437.2
ABHD10	ENST00000273359	NM_018394.3
ABHD11	ENST00000222800	NM_148912.2
ABHD12B	ENST00000337334	NM_001206673.1
ABHD12	ENST00000376542	NM_015600.4
ABHD13	ENST00000375898	NM_032859.2
ABHD14A-ACY1	ENST00000463937	
ABHD14A	ENST00000273596	NM_015407.4
ABHD14B	ENST00000483233	
ABHD15	ENST00000307201	NM_198147.2
ABHD16A	ENST00000395952	NM_021160.2
ABHD16B	ENST00000369916	NM_080622.3
ABHD17A	ENST00000250974	NM_031213.3
ABHD17AP4	ENST00000411545	
ABHD17AP5	ENST00000333131	
ABHD17AP6	ENST00000458502	
ABHD17B	ENST00000377041	NM_016014.2
